category_code,diagnosis_code,full_code,abbreviated_description,full_description,category_title
A0,1234,A01234,Comma-ind anal ret,Comma-induced anal retention,Malignant neoplasm of anus and anal canal
A0,1234,A01234,Comma-ind anal ret,Comma-induced anal retention,Malignant neoplasm of anus and anal canal
A0,1234,A01234,Comma-ind anal ret,Comma-induced anal retention,Malignant neoplasm of anus and anal canal
A0,1234,A01234,Comma-ind anal ret,Comma-induced anal retention,Malignant neoplasm of anus and anal canal
A0,1234,A01234,Comma-ind anal ret,Comma-induced anal retention,Malignant neoplasm of anus and anal canal
A0,1234,A01234,Comma-ind anal ret,Comma-induced anal retention,Malignant neoplasm of anus and anal canal
A0,1234,A01234,Comma-ind anal ret,Comma-induced anal retention,Malignant neoplasm of anus and anal canal
A0,1234,A01234,Comma-ind anal ret,Comma-induced anal retention,Malignant neoplasm of anus and anal canal
A0,1234,A01234,Comma-ind anal ret,Comma-induced anal retention,Malignant neoplasm of anus and anal canal
A0,1234,A01234,Comma-ind anal ret,Comma-induced anal retention,Malignant neoplasm of anus and anal canal